,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
227,10,3,25,26,0.01,0.3,1,2,1,1,2000,1,0.00014750640712682227
228,10,4,25,26,0.01,0.3,1,2,1,1,2000,1,6.329558118860251e-07
229,10,5,25,26,0.01,0.3,1,2,1,1,2000,1,1.4723087645634893e-07
230,10,6,25,26,0.01,0.3,1,2,1,1,2000,1,2.00462075856143e-06
231,10,7,25,26,0.01,0.3,1,2,1,1,2000,1,1.6049657811477152e-15
232,10,8,25,26,0.01,0.3,1,2,1,1,2000,1,7.165222716391869e-10
233,10,9,25,26,0.01,0.3,1,2,1,1,2000,1,6.302349944935e-11
234,10,10,25,26,0.01,0.3,1,2,1,1,2000,1,0.00019092649246201475
235,10,11,25,26,0.01,0.3,1,2,1,1,2000,1,6.157591394547859e-10
236,10,12,25,26,0.01,0.3,1,2,1,1,2000,1,4.877943681242563e-05
237,10,13,25,26,0.01,0.3,1,2,1,1,2000,1,1.5493624074387428e-06
238,10,14,25,26,0.01,0.3,1,2,1,1,2000,1,1.0190010700217421e-13
239,10,15,25,26,0.01,0.3,1,2,1,1,2000,1,1.4021904629384955e-07
240,10,16,25,26,0.01,0.3,1,2,1,1,2000,1,7.322283215780123e-10
241,10,17,25,26,0.01,0.3,1,2,1,1,2000,1,0.0005023905134451428
242,10,18,25,26,0.01,0.3,1,2,1,1,2000,1,3.7406226577385235e-09
243,10,19,25,26,0.01,0.3,1,2,1,1,2000,1,3.463857304216294e-09
244,10,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.0003352260616382114
245,10,21,25,26,0.01,0.3,1,2,1,1,2000,1,3.036768483843742e-08
246,10,22,25,26,0.01,0.3,1,2,1,1,2000,1,3.415231853838787e-11
247,10,23,25,26,0.01,0.3,1,2,1,1,2000,1,1.3447980440887484e-06
248,10,24,25,26,0.01,0.3,1,2,1,1,2000,1,3.957230810236358e-09
249,10,25,25,26,0.01,0.3,1,2,1,1,2000,1,9.320084266975117e-08
250,11,1,25,26,0.01,0.3,1,2,1,1,2000,1,1.6464199127470952e-05
251,11,2,25,26,0.01,0.3,1,2,1,1,2000,1,3.5834424176149257e-07
252,11,3,25,26,0.01,0.3,1,2,1,1,2000,1,0.0003913263290023949
253,11,4,25,26,0.01,0.3,1,2,1,1,2000,1,0.0006973151196194006
254,11,5,25,26,0.01,0.3,1,2,1,1,2000,1,3.808221443368577e-06
255,11,6,25,26,0.01,0.3,1,2,1,1,2000,1,6.116021260973894e-05
256,11,7,25,26,0.01,0.3,1,2,1,1,2000,1,3.3384401118330844e-06
257,11,8,25,26,0.01,0.3,1,2,1,1,2000,1,3.2964378606197156e-06
258,11,9,25,26,0.01,0.3,1,2,1,1,2000,1,1.28399741814246e-07
259,11,10,25,26,0.01,0.3,1,2,1,1,2000,1,6.7463433353784005e-19
260,11,11,25,26,0.01,0.3,1,2,1,1,2000,1,1.0888314815396267e-06
261,11,12,25,26,0.01,0.3,1,2,1,1,2000,1,2.1068587308995842e-07
262,11,13,25,26,0.01,0.3,1,2,1,1,2000,1,3.901123977454638e-09
263,11,14,25,26,0.01,0.3,1,2,1,1,2000,1,4.064174479972212e-06
264,11,15,25,26,0.01,0.3,1,2,1,1,2000,1,3.6013815285934663e-06
265,11,16,25,26,0.01,0.3,1,2,1,1,2000,1,1.1225827863133068e-06
266,11,17,25,26,0.01,0.3,1,2,1,1,2000,1,3.7219273588771945e-07
267,11,18,25,26,0.01,0.3,1,2,1,1,2000,1,3.7435961946237654e-08
268,11,19,25,26,0.01,0.3,1,2,1,1,2000,1,1.0106929643137794e-07
269,11,20,25,26,0.01,0.3,1,2,1,1,2000,1,2.117320537722866e-06
270,11,21,25,26,0.01,0.3,1,2,1,1,2000,1,0.00029790864863512575
271,11,22,25,26,0.01,0.3,1,2,1,1,2000,1,0.004245124304321522
272,11,23,25,26,0.01,0.3,1,2,1,1,2000,1,1.643423537319986e-07
273,11,24,25,26,0.01,0.3,1,2,1,1,2000,1,0.00041683720641335926
274,11,25,25,26,0.01,0.3,1,2,1,1,2000,1,1.9877171572676682e-07
275,12,1,25,26,0.01,0.3,1,2,1,1,2000,1,8.945161610212603e-07
276,12,2,25,26,0.01,0.3,1,2,1,1,2000,1,5.1462853141094604e-08
277,12,3,25,26,0.01,0.3,1,2,1,1,2000,1,1.1073098702945366e-06
278,12,4,25,26,0.01,0.3,1,2,1,1,2000,1,4.390577313669705e-07
279,12,5,25,26,0.01,0.3,1,2,1,1,2000,1,4.044211698565048e-06
280,12,6,25,26,0.01,0.3,1,2,1,1,2000,1,1.441304445421508e-07
281,12,7,25,26,0.01,0.3,1,2,1,1,2000,1,7.770578051292346e-12
282,12,8,25,26,0.01,0.3,1,2,1,1,2000,1,1.4629118174681851e-10
283,12,9,25,26,0.01,0.3,1,2,1,1,2000,1,1.0586194274269526e-05
284,12,10,25,26,0.01,0.3,1,2,1,1,2000,1,2.346097998509732e-09
285,12,11,25,26,0.01,0.3,1,2,1,1,2000,1,2.108664300760767e-08
286,12,12,25,26,0.01,0.3,1,2,1,1,2000,1,2.731434191965932e-07
287,12,13,25,26,0.01,0.3,1,2,1,1,2000,1,3.0529705305822893e-06
288,12,14,25,26,0.01,0.3,1,2,1,1,2000,1,2.465240613206344e-05
289,12,15,25,26,0.01,0.3,1,2,1,1,2000,1,2.1570862187234407e-08
290,12,16,25,26,0.01,0.3,1,2,1,1,2000,1,4.147167511499112e-07
291,12,17,25,26,0.01,0.3,1,2,1,1,2000,1,7.001912624691711e-07
292,12,18,25,26,0.01,0.3,1,2,1,1,2000,1,2.980937409849209e-10
293,12,19,25,26,0.01,0.3,1,2,1,1,2000,1,5.998451261782175e-10
294,12,20,25,26,0.01,0.3,1,2,1,1,2000,1,5.949544277196693e-08
295,12,21,25,26,0.01,0.3,1,2,1,1,2000,1,2.090239924684524e-09
296,12,22,25,26,0.01,0.3,1,2,1,1,2000,1,1.1144406240154655e-05
297,12,23,25,26,0.01,0.3,1,2,1,1,2000,1,3.627599960878666e-13
298,12,24,25,26,0.01,0.3,1,2,1,1,2000,1,7.033478076342401e-10
299,12,25,25,26,0.01,0.3,1,2,1,1,2000,1,3.415074835581752e-07
300,13,1,25,26,0.01,0.3,1,2,1,1,2000,1,4.549275225126341e-10
301,13,2,25,26,0.01,0.3,1,2,1,1,2000,1,5.0040250622748134e-12
302,13,3,25,26,0.01,0.3,1,2,1,1,2000,1,9.599457306908514e-22
303,13,4,25,26,0.01,0.3,1,2,1,1,2000,1,2.2123165097194705e-07
304,13,5,25,26,0.01,0.3,1,2,1,1,2000,1,3.0009945300777818e-06
305,13,6,25,26,0.01,0.3,1,2,1,1,2000,1,1.3811436844321398e-06
306,13,7,25,26,0.01,0.3,1,2,1,1,2000,1,3.5361952074763913e-09
307,13,8,25,26,0.01,0.3,1,2,1,1,2000,1,1.1493984849003433e-06
308,13,9,25,26,0.01,0.3,1,2,1,1,2000,1,2.6574034347467583e-11
309,13,10,25,26,0.01,0.3,1,2,1,1,2000,1,0.000651554795728846
310,13,11,25,26,0.01,0.3,1,2,1,1,2000,1,4.1237746944856374e-10
311,13,12,25,26,0.01,0.3,1,2,1,1,2000,1,1.6109500813478378e-07
312,13,13,25,26,0.01,0.3,1,2,1,1,2000,1,0.0009885060679878112
313,13,14,25,26,0.01,0.3,1,2,1,1,2000,1,4.887899759033556e-06
314,13,15,25,26,0.01,0.3,1,2,1,1,2000,1,3.592770014803914e-07
315,13,16,25,26,0.01,0.3,1,2,1,1,2000,1,3.895160413227838e-11
316,13,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.118679846054119e-06
317,13,18,25,26,0.01,0.3,1,2,1,1,2000,1,1.1761535469068628e-06
318,13,19,25,26,0.01,0.3,1,2,1,1,2000,1,0.0003551024248380788
319,13,20,25,26,0.01,0.3,1,2,1,1,2000,1,2.6747280763352137e-12
320,13,21,25,26,0.01,0.3,1,2,1,1,2000,1,1.3108122123416152e-09
321,13,22,25,26,0.01,0.3,1,2,1,1,2000,1,8.126383930331414e-12
322,13,23,25,26,0.01,0.3,1,2,1,1,2000,1,4.308396643066827e-14
323,13,24,25,26,0.01,0.3,1,2,1,1,2000,1,7.518255265071454e-07
324,13,25,25,26,0.01,0.3,1,2,1,1,2000,1,5.4019806641602945e-06
