,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,path_len,path_count,sla
290,6,41,50,25,0.01,0.3,1,2,2000,1,0.0016072147070599371
291,6,42,50,25,0.01,0.3,1,2,2000,1,0.280469565113423
292,6,43,50,25,0.01,0.3,1,2,2000,1,0.17030240638507385
293,6,44,50,25,0.01,0.3,1,2,2000,1,0.3895525743663919
294,6,45,50,25,0.01,0.3,1,2,2000,1,0.0019041847287061073
295,6,46,50,25,0.01,0.3,1,2,2000,1,0.5091612403715651
296,6,47,50,25,0.01,0.3,1,2,2000,1,0.992537856513838
297,6,48,50,25,0.01,0.3,1,2,2000,1,0.0003063661080579366
298,6,49,50,25,0.01,0.3,1,2,2000,1,0.00025774943100308136
299,6,50,50,25,0.01,0.3,1,2,2000,1,0.37505370715719333
300,7,1,50,25,0.01,0.3,1,2,2000,1,4.350052515235259e-28
301,7,2,50,25,0.01,0.3,1,2,2000,1,3.423929688794994e-10
302,7,3,50,25,0.01,0.3,1,2,2000,1,4.647407967476651e-24
303,7,4,50,25,0.01,0.3,1,2,2000,1,1.3421032981574939e-11
304,7,5,50,25,0.01,0.3,1,2,2000,1,6.334182698080722e-10
305,7,6,50,25,0.01,0.3,1,2,2000,1,3.652315986421952e-14
306,7,7,50,25,0.01,0.3,1,2,2000,1,7.794901318357014e-18
307,7,8,50,25,0.01,0.3,1,2,2000,1,2.0966918312902433e-35
308,7,9,50,25,0.01,0.3,1,2,2000,1,3.165072428600694e-16
309,7,10,50,25,0.01,0.3,1,2,2000,1,1.9574150203381826e-15
310,7,11,50,25,0.01,0.3,1,2,2000,1,7.53645078101167e-21
311,7,12,50,25,0.01,0.3,1,2,2000,1,1.3349113845429705e-24
312,7,13,50,25,0.01,0.3,1,2,2000,1,3.006345802231345e-09
313,7,14,50,25,0.01,0.3,1,2,2000,1,6.822161224029197e-24
314,7,15,50,25,0.01,0.3,1,2,2000,1,1.765998259904381e-25
315,7,16,50,25,0.01,0.3,1,2,2000,1,3.8449360294273926e-29
316,7,17,50,25,0.01,0.3,1,2,2000,1,2.3319454439545405e-38
317,7,18,50,25,0.01,0.3,1,2,2000,1,8.273968223859916e-14
318,7,19,50,25,0.01,0.3,1,2,2000,1,7.969358890312059e-16
319,7,20,50,25,0.01,0.3,1,2,2000,1,3.196807816564127e-10
320,7,21,50,25,0.01,0.3,1,2,2000,1,3.5748194913290404e-10
321,7,22,50,25,0.01,0.3,1,2,2000,1,9.478876237790856e-23
322,7,23,50,25,0.01,0.3,1,2,2000,1,1.5895566399518925e-29
323,7,24,50,25,0.01,0.3,1,2,2000,1,5.885212643988478e-10
324,7,25,50,25,0.01,0.3,1,2,2000,1,1.344714009923978e-17
325,7,26,50,25,0.01,0.3,1,2,2000,1,6.802983964090249e-11
326,7,27,50,25,0.01,0.3,1,2,2000,1,6.753245131862445e-19
327,7,28,50,25,0.01,0.3,1,2,2000,1,1.5569112082313585e-37
328,7,29,50,25,0.01,0.3,1,2,2000,1,1.2307881145200485e-29
329,7,30,50,25,0.01,0.3,1,2,2000,1,3.9758569092800946e-24
330,7,31,50,25,0.01,0.3,1,2,2000,1,5.126484281343479e-12
331,7,32,50,25,0.01,0.3,1,2,2000,1,1.1996108485072745e-27
332,7,33,50,25,0.01,0.3,1,2,2000,1,2.4854057006546357e-21
333,7,34,50,25,0.01,0.3,1,2,2000,1,7.720705689407336e-26
334,7,35,50,25,0.01,0.3,1,2,2000,1,1.6033217667971812e-15
335,7,36,50,25,0.01,0.3,1,2,2000,1,1.38392961661844e-20
336,7,37,50,25,0.01,0.3,1,2,2000,1,5.21466456595475e-25
337,7,38,50,25,0.01,0.3,1,2,2000,1,2.7189736508439512e-15
338,7,39,50,25,0.01,0.3,1,2,2000,1,1.895693884970444e-20
339,7,40,50,25,0.01,0.3,1,2,2000,1,1.4878957673381277e-60
340,7,41,50,25,0.01,0.3,1,2,2000,1,8.381685505319723e-17
341,7,42,50,25,0.01,0.3,1,2,2000,1,3.621395937543824e-12
342,7,43,50,25,0.01,0.3,1,2,2000,1,1.9276651095236357e-11
343,7,44,50,25,0.01,0.3,1,2,2000,1,4.392926186349459e-24
344,7,45,50,25,0.01,0.3,1,2,2000,1,2.1480809722465787e-17
345,7,46,50,25,0.01,0.3,1,2,2000,1,2.1895977758765714e-30
346,7,47,50,25,0.01,0.3,1,2,2000,1,1.9457617530085342e-11
347,7,48,50,25,0.01,0.3,1,2,2000,1,1.048884895685078e-32
348,7,49,50,25,0.01,0.3,1,2,2000,1,3.9901824620692225e-22
349,7,50,50,25,0.01,0.3,1,2,2000,1,6.395865818066219e-16
350,8,1,50,25,0.01,0.3,1,2,2000,1,0.03248062178556264
351,8,2,50,25,0.01,0.3,1,2,2000,1,0.00024105494491115468
352,8,3,50,25,0.01,0.3,1,2,2000,1,4.3677344627043e-06
353,8,4,50,25,0.01,0.3,1,2,2000,1,4.880827262250571e-11
354,8,5,50,25,0.01,0.3,1,2,2000,1,0.01619287156625259
355,8,6,50,25,0.01,0.3,1,2,2000,1,3.5856409610435556e-07
356,8,7,50,25,0.01,0.3,1,2,2000,1,1.4604356985498034e-17
357,8,8,50,25,0.01,0.3,1,2,2000,1,3.12355429765991e-05
358,8,9,50,25,0.01,0.3,1,2,2000,1,6.815494933134341e-12
